t=00	 3.523013485930519e-03	 6.972904724261660e-07 
t=01	 3.300372580282769e-03	 1.086498644798015e-06 
t=02	 8.294282854758565e-04	 -4.079888095945142e-08 
t=03	 2.198049419659411e-04	 -1.815921491307436e-07 
t=04	 5.934808829179915e-05	 -5.275414908628752e-08 
t=05	 1.609189742207909e-05	 -1.290263177160442e-08 
t=06	 4.402114905484310e-06	 -3.631686495255690e-09 
t=07	 1.207278565265917e-06	 -3.781463338303110e-09 
t=08	 3.317298209638214e-07	 -5.862272014958292e-10 
t=09	 9.094787091357474e-08	 -5.923716132644343e-11 
t=10	 2.494096352968377e-08	 -7.102260149512716e-12 
t=11	 6.863248995868416e-09	 -6.274139783745542e-12 
t=12	 1.887632687918982e-09	 -2.615945321932940e-12 
t=13	 5.184235484519934e-10	 -8.135224325251614e-13 
t=14	 1.429595952316836e-10	 -5.244686191712476e-14 
t=15	 3.945514980769728e-11	 1.621934108232208e-14 
t=16	 1.090031703333391e-11	 1.306155628368411e-14 
t=17	 3.010209359677666e-12	 9.861147875142447e-15 
t=18	 8.273556958881721e-13	 3.043271048630814e-15 
t=19	 2.292256156626546e-13	 1.218305559098878e-15 
t=20	 6.350446446552583e-14	 4.735650328755774e-16 
t=21	 1.755710658198972e-14	 1.307308845878227e-16 
t=22	 4.884885058778908e-15	 5.464054473468104e-17 
t=23	 1.448144114713534e-15	 1.887673802901266e-17 
t=24	 7.414962629712556e-16	 7.787315521108098e-18 
t=25	 1.445885086566223e-15	 9.314240585035000e-18 
t=26	 4.882728367120265e-15	 3.732256081812748e-17 
t=27	 1.759488210645955e-14	 1.029309084949109e-16 
t=28	 6.359869093735184e-14	 4.869871885000177e-16 
t=29	 2.303981788713845e-13	 1.902360832909364e-15 
t=30	 8.359101551274422e-13	 7.105956894430154e-15 
t=31	 3.026933732456102e-12	 1.279900027867673e-14 
t=32	 1.095417994713329e-11	 2.577068374203520e-14 
t=33	 3.978972984064162e-11	 1.604084380015017e-13 
t=34	 1.442798501721971e-10	 5.030574340525824e-13 
t=35	 5.223893119317468e-10	 9.108514528338108e-13 
t=36	 1.901635562563289e-09	 5.822961503058382e-13 
t=37	 6.901856918472702e-09	 8.586066919756066e-12 
t=38	 2.500456218297304e-08	 1.837878231625777e-11 
t=39	 9.106126074998192e-08	 -1.763102294996184e-11 
t=40	 3.315344659341903e-07	 -3.593203974253218e-10 
t=41	 1.209368953923339e-06	 -2.228066272990199e-09 
t=42	 4.434044608495959e-06	 -7.508963861875960e-09 
t=43	 1.621854445663077e-05	 -3.785749095404117e-08 
t=44	 5.995550917581858e-05	 -9.539478432201577e-08 
t=45	 2.216340540268079e-04	 -1.191916080568730e-07 
t=46	 8.320587081976647e-04	 -1.192083997186229e-07 
t=47	 3.305958133439185e-03	 1.047118740652542e-06 
